id_persona,informal,anios_estudio,edad,sexo,area,casado,fexp
1,0,16,56,1,1,0,437.11
2,0,3,46,0,1,1,475.6
3,0,12,32,0,0,0,468.44
4,1,17,60,1,1,1,221.64
5,0,0,25,0,1,1,85.4
6,0,15,38,0,1,0,127.34
7,0,12,56,1,0,1,76.65
8,0,9,36,1,1,0,97.43
9,0,11,40,1,1,1,133.09
10,0,1,28,0,0,1,203.49
11,0,2,28,1,0,1,294.59
12,0,9,41,0,1,1,370.26
13,1,1,53,1,0,1,144.92
14,1,12,57,1,1,0,352.64
15,0,12,41,1,0,0,366.92
16,0,17,20,1,1,1,301.38
17,0,2,39,0,1,0,456.63
18,1,6,19,1,0,0,99.95
19,0,13,41,1,0,0,129.7
20,0,16,61,0,1,0,242.9
21,0,11,47,1,1,1,107.02
22,0,15,55,0,1,1,304.83
23,0,11,19,1,0,1,229.28
24,0,14,38,1,0,0,178.07
25,1,9,50,1,0,0,126.5
26,0,6,29,0,1,0,200.9
27,1,4,39,1,0,1,323.58
28,0,0,61,1,1,1,309.1
29,0,16,42,1,1,1,123.63
30,0,2,44,0,1,1,106.21
31,0,12,59,0,0,1,62.0
32,0,13,45,1,0,1,55.59
33,0,17,33,0,1,1,445.91
34,0,3,32,1,1,1,70.29
35,0,17,64,1,0,0,379.05
36,0,4,61,1,1,1,442.39
37,0,15,20,1,1,1,94.13
38,0,0,54,0,0,1,246.34
39,0,13,24,0,0,0,483.04
40,0,14,38,0,1,1,425.36
41,0,8,26,0,1,1,270.37
42,0,14,56,0,0,0,393.16
43,0,16,35,1,1,1,425.02
44,1,3,21,1,1,0,206.61
45,0,11,42,1,0,0,451.47
46,0,4,31,1,1,0,261.71
47,0,4,26,1,1,0,287.51
48,0,10,43,1,0,1,499.87
49,1,5,19,1,0,0,429.49
50,0,6,37,1,1,0,212.8
51,0,13,45,0,1,0,54.66
52,0,10,64,0,1,0,331.78
53,0,12,24,0,1,0,366.76
54,0,1,61,1,1,1,342.86
55,1,6,25,1,1,0,485.54
56,0,3,64,0,1,1,438.34
57,1,7,52,0,0,1,251.97
58,0,18,31,1,0,0,78.29
59,0,12,34,0,0,1,264.23
60,0,13,53,0,1,0,360.16
61,0,9,57,1,0,0,323.47
62,0,10,21,0,1,0,292.16
63,1,1,19,0,0,0,260.97
64,0,8,23,1,0,1,182.19
65,0,16,59,1,1,1,174.81
66,1,2,21,1,1,0,275.1
67,0,5,46,0,0,1,122.27
68,1,4,35,0,0,0,203.31
69,1,4,43,0,1,1,195.79
70,1,14,61,1,0,0,314.21
71,0,16,51,1,0,0,80.01
72,0,8,27,0,1,0,423.35
73,1,2,53,1,0,0,303.07
74,0,16,31,0,1,1,351.87
75,1,9,48,0,0,1,366.39
76,0,2,32,0,0,0,181.17
77,0,17,25,0,0,1,261.67
78,0,17,31,1,0,1,480.31
79,0,16,40,0,0,1,395.02
80,0,2,57,0,0,0,486.3
81,0,2,38,1,1,1,385.81
82,0,5,33,0,1,1,129.02
83,0,12,62,1,1,1,79.04
84,1,14,35,1,1,0,309.95
85,1,8,64,0,1,0,211.02
86,0,3,41,0,0,0,173.96
87,0,13,43,0,1,1,413.24
88,0,4,42,0,0,1,215.15
89,0,1,62,0,0,0,192.65
90,0,10,58,1,1,1,432.49
91,0,8,46,1,1,1,430.83
92,0,2,32,0,1,1,210.36
93,0,8,62,1,0,1,424.62
94,1,2,18,1,1,1,432.85
95,1,1,42,1,0,0,240.77
96,0,11,24,1,1,1,79.91
97,1,9,26,1,0,0,50.71
98,0,8,41,0,1,0,285.48
99,1,14,18,0,1,0,204.83
100,1,7,61,1,1,0,498.71
101,0,4,25,0,1,0,397.58
102,0,10,41,1,1,0,392.57
103,1,1,28,1,0,1,479.86
104,0,14,34,0,0,0,449.48
105,0,5,25,0,0,1,193.18
106,0,7,52,0,1,0,124.69
107,1,4,52,1,1,1,385.65
108,0,15,50,0,1,1,220.22
109,0,17,22,0,0,0,262.93
110,1,5,59,0,1,1,333.68
111,0,4,56,0,1,1,458.54
112,0,15,58,0,1,1,238.59
113,0,12,45,0,1,1,402.49
114,0,4,24,1,1,1,170.75
115,0,12,26,0,0,1,364.09
116,0,16,25,0,1,0,50.71
117,0,17,29,0,1,0,442.18
118,0,7,51,0,0,1,63.67
119,0,12,50,1,0,0,370.74
120,0,18,40,1,0,1,70.82
121,1,2,41,0,1,0,169.81
122,1,7,54,1,1,1,273.74
123,0,1,52,0,1,1,238.97
124,1,7,61,0,1,0,136.33
125,0,12,57,1,1,0,200.22
126,0,12,39,1,0,1,377.47
127,0,0,44,1,1,1,351.17
128,0,5,52,0,1,0,82.32
129,0,18,18,1,1,0,386.29
130,0,15,52,0,1,1,73.87
131,1,7,54,0,1,1,294.32
132,1,0,64,1,0,0,167.03
133,0,15,31,0,1,0,314.46
134,0,8,20,1,0,1,167.6
135,1,12,18,1,0,0,493.23
136,0,10,22,0,0,0,189.38
137,0,12,43,0,0,1,158.88
138,0,9,31,1,0,0,175.31
139,1,3,56,0,1,1,453.41
140,0,5,44,1,1,0,336.3
141,1,6,26,1,0,1,378.81
142,0,4,32,0,0,1,463.1
143,0,10,32,1,0,0,460.34
144,0,12,43,1,0,1,382.53
145,0,18,59,0,0,0,139.02
146,0,9,30,1,1,1,429.52
147,0,9,49,0,0,1,141.7
148,0,10,56,1,1,0,384.3
149,1,6,49,1,0,0,358.52
150,0,17,21,0,1,0,391.5
151,0,3,47,0,1,1,289.71
152,0,1,54,1,1,0,337.43
153,0,13,40,0,1,0,478.99
154,0,12,56,1,0,0,95.49
155,0,11,62,0,0,0,188.98
156,0,6,32,1,1,1,325.11
157,1,1,60,1,0,0,483.82
158,1,12,46,1,1,1,93.01
159,1,13,53,0,0,0,60.15
160,0,16,30,1,0,0,75.09
161,0,8,49,1,1,1,73.58
162,0,16,24,0,1,1,458.52
163,0,7,39,0,1,1,374.57
164,1,1,45,0,0,0,354.7
165,0,12,19,1,1,0,285.16
166,1,2,59,1,0,1,401.88
167,0,15,62,0,0,0,120.04
168,0,5,23,1,1,0,226.37
169,0,18,45,0,0,1,270.5
170,0,6,45,0,0,1,99.68
171,0,9,61,1,0,1,238.78
172,0,8,61,1,0,1,192.43
173,1,1,37,0,0,1,66.01
174,0,14,47,0,0,0,111.53
175,1,4,28,1,0,0,393.82
176,0,3,45,0,0,1,58.12
177,0,3,42,0,1,1,470.41
178,0,17,56,0,0,1,88.89
179,0,3,50,1,0,0,409.66
180,0,16,18,1,0,0,454.38
181,0,11,44,0,1,1,473.51
182,0,16,30,1,1,0,440.36
183,0,9,58,1,1,0,179.4
184,1,0,20,0,1,1,199.89
185,0,17,56,1,1,1,241.95
186,0,17,23,1,1,0,112.68
187,0,13,25,0,1,1,60.02
188,0,14,44,0,0,1,441.1
189,0,11,26,1,0,0,299.36
190,1,3,54,1,0,0,323.93
191,1,2,50,1,1,0,467.14
192,0,11,59,0,1,0,349.3
193,0,6,61,1,1,1,360.88
194,0,10,41,0,0,0,404.14
195,0,0,32,0,1,1,102.36
196,1,5,49,1,0,0,212.07
197,0,14,49,0,0,0,485.69
198,0,14,41,0,1,1,465.32
199,1,18,58,0,1,0,447.83
200,1,10,29,0,0,1,253.44
201,0,1,56,0,1,0,435.74
202,0,13,19,1,0,0,71.78
203,1,1,20,0,1,1,116.83
204,1,3,54,1,0,0,236.29
205,0,16,34,1,0,1,267.53
206,1,2,19,1,0,1,168.58
207,0,12,19,0,0,0,210.41
208,1,8,45,1,0,0,123.25
209,0,6,40,1,1,1,270.11
210,0,14,54,1,1,1,407.23
211,0,10,49,1,1,0,347.61
212,0,1,50,1,0,1,98.51
213,0,14,18,0,1,0,269.41
214,1,13,36,1,0,1,363.94
215,0,10,19,1,0,0,288.45
216,0,2,61,1,1,1,226.25
217,1,16,43,1,1,1,329.86
218,1,11,49,0,0,0,485.89
219,0,14,23,1,0,0,92.71
220,0,15,49,0,1,0,225.51
221,0,4,21,0,0,1,232.97
222,0,5,28,0,1,0,309.64
223,0,18,34,0,1,0,118.48
